id,resumen,facultad
TR-00011,"Introducción: El Croup post extubación es una complicación frecuente en pacientes pediátricos que requieren intubación orotraqueal para la realización de procedimientos bajo anestesia general. Objetivo general del estudio describir las características demográficas y clínicas de los pacientes pediátricos llevados a cirugía cardiaca entre junio de 2020 hasta octubre de 2020 que presentaron croup postextubación durante el post operatorio atendidos en la Cardio-IC. Metodología: Estudio descriptivo retrospectivo tipo serie de casos. Se utilizó un muestreo no probabilístico y de manera consecutiva se seleccionaron 16 pacientes pediátricos que cumplieron con los criterios de inclusión y de exclusión. La descripción de las variables preoperatorias, intraoperatorias y post operatorias definidas para el estudio, se realizó con frecuencias, porcentajes, medidas de tendencia central (promedio, desviación estándar, mediana) y cuartiles. Resultados: Los pacientes objeto de estudio, se caracterizaron por tener un promedio de edad de 18 ±22 meses, con una mediana de 9 meses, el peso fue 8±4,5 kg y la talla de 71,4±16,4 cms; no hubo diferencias en cuento al género (50% femenino y 50% masculino), la mayoría de pacientes un 44% fueron clasificados con un riesgo preoperatorio de 3 según la escala de Rachs-1. En el postoperatorio se determinó para el grupo de estudio, un tiempo total de ventilación mecánica de 155±142 horas con una mediana de 102 horas; y el requerimiento de reintubación fue del 44% en 7 pacientes. Conclusión: El Croup postoperatorio en pacientes sometidos a cirugía cardiovascular pediátrica es una complicación que puede comprometer la evolución y el pronóstico postoperatorios. La identificación de factores predisponentes, el manejo adecuado intraoperatorio y la implementación de un método diagnóstico y seguimiento estandarizado y objetivo, son fundamentales para prevenir, identificar y tratar a tiempo esta complicación.",medicina
TR-00012,"El siguiente trabajo presenta una estrategia de marketing digital para posicionar a Waya, un emprendimiento colombiano que busca expandirse en el mercado francés. Waya tiene como objetivo promover la cultura y la moda colombiana en Francia, destacando especialmente las mochilas artesanales elaboradas por el pueblo indígena Wayúu. Estos productos también promueven la sostenibilidad y el cuidado del medio ambiente al ser fabricados con materiales naturales y técnicas artesanales. El objetivo principal es atraer, involucrar y convertir al público objetivo correcto. Para lograrlo, se establecen metas específicas, como dar a conocer la empresa utilizando medios digitales y fomentar la participación de los clientes, lo que a su vez generará ventas. El trabajo presenta un enfoque estratégico de contenido en forma de embudo, que abarca etapas de atracción, interacción, conversión y fidelización. Se sugiere aprovechar diversos canales como redes sociales, blogs, influenciadores y ferias de moda para alcanzar los objetivos de la estrategia. Además, se propone una estrategia de posicionamiento SEO para aumentar la visibilidad de la marca en los resultados de búsqueda. En resumen, se desarrolla una sólida estrategia de marketing digital que permite establecer la imagen de la empresa y competir eficazmente en el mercado, manteniendo el objetivo principal de Waya, que es promover la cultura colombiana.",administracion_empresas
TR-00013,"El objetivo de este trabajo es determinar las consecuencias para el conflicto árabe israelí de la conformación de un gobierno de base religiosa en Israel y elaborar los posibles escenarios en los que se puede desarrollarse el conflicto, ya que el éxito o fracaso de toda iniciativa internacional que busque darle solución al conflicto palestino dependerá en gran parte de la disposición del gobierno israelí de negociar. Para el desarrollo de este trabajo, la monografía se ha dividido, como ya se ha dicho, en cuatro capítulos: en el primero se analiza la forma en que funciona el gobierno israelí y cómo ese funcionamiento incide en el desarrollo del conflicto; en el segundo se estudia más de cerca los partidos religiosos, sus ideologías, objetivos e intereses en torno al conflicto; en el tercer capítulo se analizará la situación política actual en Israel, la interacción entre el gobierno de turno y los partidos de tendencia religiosa, para así finalmente hacer una proyección de los posibles escenarios y las alternativas que tiene Israel y sus efectos sobre los partidos religiosos, el Medio Oriente y sus relaciones internacionales.",gobierno
TR-00014,"La obesidad es una de las causas de óbito fetal documentadas en la literatura, pero actualmente no hay datos conclusivos sobre el efecto del sobrepeso como causa de óbito. Con la presente revisión sistemática se pretendió evaluar la evidencia relacionada con las alteraciones de peso como causa de óbito fetal. Se realizó una revisión sistemática de la literatura en múltiples bases de datos incluyendo la mejor evidencia relacionada con el tema en un periodo de cinco años. El sobrepeso/obesidad es un factor de riesgo modificable en toda mujer que planea una gestación; la intervención oportuna durante la valoración preconcepcional puede modificar todos los factores en cuanto a patrones de alimentación, ejercicio y hábitos de vida saludable.",medicina
TR-00015,"Introducción: Fisiopatológicamente existe una relación entre la degeneración macular relacionada con la edad y el deterioro cognitivo, pues junta son enfermedades de depósitos, cuyas proteínas, ya sea Tau o la beta amiloide son las causantes de las manifestaciones clínicas e imagenológicas en cada enfermedad. Algunos estudios proponen una relación entre la severidad de la degeneración macular y el grado de demencia que puede llegar a presentar un paciente como es el estudio AREDS2. Objetivo: Identificar y entender la relación entre el estado cognitivo en los pacientes con degeneración macular relacionada con la edad, con énfasis en su asociación fisiopatológica mediante la revisión de ensayos clínicos y observacionales analíticos Criterios de elegibilidad: Se incluyeron únicamente artículos observacionales analíticos tipo cohorte, casos y control o prevalencias, así como, ensayos clínicos en idiomas inglés y español, en los que se relacionará o asociará la degeneración macular relacionada con la edad y el estado cognitivo. Fuentes de evidencia: La búsqueda se realizó en bases de datos como Scielo, Scopus y Pubmed Recolección de datos y análisis: Se realizó una revisión de alcance siguiendo la metodología PRISMA ScR y el software Systematic Review Accelerator; la búsqueda bibliográfica se realizó en las bases de datos Scielo, Scopus y Pubmed, usando términos en inglés y español entre los años (2009/2022). Se obtuvieron 217 artículos, su búsqueda fue realizada únicamente por investigadores y la extracción de los datos, análisis de los artículos se realizó por revisión de pares. Se excluyeron 10 artículos duplicados, posteriormente, únicamente con el título y resumen, se excluyeron los artículos que no mencionan deterioro cognitivo y/o degeneración macular para una revisión de 47 artículos. Resultados: Se obtuvo en la búsqueda de literatura 217 artículos según los términos MESH utilizados, posteriormente, solo 24 cumplieron los criterios de inclusión, evidenciando 16 artículos identificaron una relación o asociación entre la degeneración macular relacionada con la edad y estado cognitivo y únicamente 4 identificaron la fisiopatología en común de estas enfermedades. Conclusiones: Se determinó que existe una relación entre la degeneración macular relacionada con la edad y el deterioro cognitivo, no obstante, se evidenció como un factor de interacción que las herramientas utilizadas para la evaluación del deterioro cognitivo dependen en gran medida de la agudeza visual y, por ende, en estadios más severos de la DMRE su relación no puede llegar a ser ampliamente determinada.",medicina
TR-00016,"Existe una continua evolución tecnológica orientada en gran medida al desarrollo de dispositivos médicos. Esto ha generado un aumento de la cantidad de organizaciones ligadas al sector salud, que se dedican al desarrollo, distribución y venta de dichos dispositivos médicos. Los ingenieros biomédicos contribuyen a estas organizaciones con sus conocimientos en mantenimiento técnico, investigación e innovación y tareas administrativas o de gestión. Este proyecto estuvo enfocado en la optimización de procesos comerciales, en la línea Health System de Philips Colombiana. El proyecto está basado en la constante búsqueda que realizan las empresas, de nuevos métodos que permiten mejorar la eficacia y eficiencia de los diferentes procesos que comprenden el flujo de funcionamiento total de sus labores, a fin de incrementar calidad en la prestación de servicios, reconocimiento en el mercado, y mayor retribución económica. El presente documento aborda dos diferentes focos de trabajo que tienen por objetivo, mejorar el acceso a datos necesarios en procesos comerciales del área de customer service en Philips Colombiana. El primer enfoque se orienta hacia el establecimiento y actualización de información de la familia Azurion, equipos de la modalidad Cardiovascular que comercializa la empresa. La información está comprendida por: repuestos de mayor cambio, accesorios, consumibles y herramientas necesarias en la instalación, desinstalación y mantenimiento de los equipos; así como también, la frecuencia de cambio de algunas de estas partes, y documentos con datos personales de los ingenieros capacitados en cada uno de estos dispositivos. El segundo enfoque de trabajo se centra en el diseño y desarrollo de CS Tenders View, una herramienta digital capaz de gestionar dicha información. El tiempo total de desarrollo del proyecto fue de 16 semanas. En este periodo se plantearon cuatro ciclos de trabajo, donde al final fue posible diseñar una herramienta digital programada en Visual Basic, y establecer por completo la información de la familia de equipos Azurion. El aplicativo permite ahorrar más de 40% del tiempo empleado en la búsqueda de datos de un equipo, y podrá gestionar la información de todos los dispositivos médicos de imagenología, ultrasonido, y monitoreo, que comercializa Philips Colombiana.",medicina
TR-00017,"Este trabajo de investigación tiene como objetivo realizar un estudio de la realidad nacional frente a los intereses marítimos, de manera que se puedan determinar si las realidades de los conceptos están bien formulados frente a la concepción marítima del país para la definición de políticas en torno al tema, por lo que se hará énfasis en los campos temáticos de la geopolítica, la estrategia marítima y la inteligencia naval estratégica, para determinar su vigencia o deficiencia en la aplicación de los mismos frente a los intereses de Colombia. Además, se revisará el concepto relativamente nuevo de oceanopolítica, que incluye los argumentos actuales y clásicos de la geopolítica aplicados específicamente al mar, el aprovechamiento de sus recursos y los factores sociales, políticos, económicos y culturales que en él se manifiestan y que particularmente en el caso colombiano a través de la Comisión Colombiana del Océano – CCO, busca unificar los criterios necesarios para entender el ámbito estratégico marino del país, con el fin de facilitar la interacción entre funcionarios e instituciones nacionales en pro de dirigir eficazmente los esfuerzos para el desarrollo marítimo nacional. Asimismo, se efectuará una revisión y análisis histórico del desarrollo de la Armada Nacional con el fin de identificar los postulados geopolíticos y estratégicos que han dado forma organizacional y funcional a la Institución Naval en Colombia. Finalmente, se estudiarán proyecciones y tendencias de los campos temáticos, buscando la forma de adaptarlos a la construcción de poder marítimo y de la estrategia nacional como parte fundamental de la formulación de políticas del país.",gobierno
TR-00018,"Evaluar los hábitos y la percepción de la calidad de sueño en una muestra de jóvenes colombianos y mexicanos. Materiales y métodos: utilizando la metodología de diario de sueño se evalúa inmediatamente al despertar la calidad de sueño percibida con un cuestionario constituido por veintisiete reactivos categóricos y cuantitativos. Resultados: se evaluaron 317 estudiantes de bachillerato/preparatoria (n= 189) y de primeros semestres universitarios (n= 128) en Bogotá (n= 197) y en Ciudad de México (n= 120). De ellos 147 fueron mujeres (46,4%) y 170 fueron hombres (53,6%). El promedio de edad fue 18,6 ± 2,81 años, con una mediana y una moda de 17 años. El alfa de Cronbach obtenido de 135 mediciones en el período de estudio fue 0,86 y 0,57 con los valores promedio de veintisiete reactivos. Hubo una correlación inversa entre las horas de sueño nocturno y las siestas (r= -0,12; p= 0,029). Un 38% de los participantes no hizo siestas y durmió en promedio 7,6 horas nocturnas o más (X2= 2,78; p= 0,047). Los hombres hicieron más siestas con un 76,5%, frente a un 55,6% de las mujeres; X2= 15,26; p= 0,000). Una reducción de las horas de sueño nocturno y la necesidad de tomar siestas estuvo significativamente asociada con el género de los participantes. El promedio y la mediana de horas de sueño nocturno (7,2 horas) se usó para clasificar la población en grupo de sueño (+) con 7,3 o más y grupo de sueño (-) con 7,2 o menos. Estos grupos fueron comparados. Conclusión: la población juvenil evaluada mostró una reducción en las horas de sueño nocturno, asociado con la frecuencia de siestas y el género de los participantes.",medicina
TR-00019,"El interés de este estudio de caso es analizar el Programa Conjunto de UNFPA y UNICEF sobre MGF/E en Kenia bajo la luz de los postulados poscolonialistas. Partiendo de la idea de que la MGF es una manifestación de las desigualdades de género, se argumenta que el PC reproduce la imagen de la mujer keniana como una víctima del poder masculino. A partir de esta imagen se deslegitima el orden cultural de los grupos que siguen esta tradición, afectando las lógicas de unidad y cohesión de la sociedad. El análisis de este tipo de dinámicas permite comprender mejor los procesos de intervención de las organizaciones internacionales sobre las estructuras sociales de actores frágiles del sistema internacional.",gobierno
TR-00020,"A través de material de podcast, acompañado de infografías, mapas mentales y fichas de sentencias, he desarrollado siete (7) temas del derecho laboral individual colombiano con el propósito de facilitar su entendimiento, hacer divulgación y pedagogía de los mismos por parte de la comunidad en general. Se trata de material de audio y gráfico que permite una comprensión integral de los siguientes temas: el trabajo como derecho humano; las modalidades de acoso laboral; las medidas de prevención, sanción y corrección del acoso laboral; las medidas de prevención de violencia de género; el contrato de trabajo y su diferenciación con el de prestación de servicios; las licencias en torno a la maternidad y la estabilidad laboral reforzada de la madre durante la gestación y lactancia. Para cada uno de esos temas el trabajo realizado aporta un podcast de duración aproximada de 25 minutos cada uno y material gráfico explicativo de lo tratado en el respectivo audio. Y cada tema es abordado buscando responder preguntas tales como: ¿qué busca protegerse o tutelarse? ¿cuál es la población objetivo? ¿qué problemática hay detrás del tema respectivo? ¿cuáles son los fundamentos jurídicos tanto a nivel internacional como nacional? ¿qué han señalado sentencias relevantes sobre la materia? ¿qué medidas en concreto dispone nuestro ordenamiento para proteger o garantizar los derechos abordados?",derecho
TR-00021,"El Estado Colombiano desde el siglo XIX ha dado especial importancia al control y regulación en el territorio nacional a la fabricación e introducción de armas, municiones y explosivos en el país, el cual está a cargo del gobierno en forma exclusiva; de tal forma que, se genera limitación al libre acceso de los particulares a las armas, municiones y explosivos. Restricción que es considerada como una medida para la construcción de la paz constitucional como derecho y deber de obligatorio cumplimiento; en torno del cual se ha creado entidades encargadas de la ejecución de actividades propias del monopolio, como es el caso de la Industria Militar (INDUMIL). De lo anterior, resulta interesante estudiar la tensión jurídica que surge entre el monopolio constitucional de las armas, municiones y explosivos y la paz social, direccionado a determinar si el rol que desempeña la Industria Militar de Colombia (INDUMIL) en ejercicio del monopolio constitucional fomenta, apoya o contribuye a la materialización de la paz “como derecho y un deber de obligatorio cumplimiento”.",derecho
TR-00022,"Cuando hablamos de historia tenemos que hablar de comunicación, este es un pilar importante en el desarrollo de las civilizaciones y culturas. Hoy en ZonaC hablamos de historia y comunicación, escúchanos y conoce algunos personajes importantes de la historia colombiana y del mundo; además, de algunos consejos para no cometer errores idiomaticos y otros para mejorar nuestra comunicación no verbal en los distintos escenarios y momentos de la vida diaria.",medicina
TR-00023,"Objetivos: Realizar una revisión sistemática para evaluar la eficacia y seguridad del Cinacalcet en el control del calcio sérico y paratohormona en los pacientes con hiperparatiroidismo primario leve a moderado. Metodología: se realizó una revisión sistemática de la literatura, en las bases de datos de Pubmed, Cochrane, Embase, Clinical Trials tesis internacionales y publicaciones Iberolatinoamericana de artículos desde el 2002 hasta junio del 2014, en inglés y español, así como búsqueda secundaria en artículos de revisión. Resultados: Se incluyeron 7 estudios en la revisión (dos ensayos clínicos aleatorizados y cinco estudios abiertos), demostrando una disminución de -1,25 (-1,5, -1,01) (p<0,00001) del calcio sérico con el uso del Cinacalcet al compararlo con placebo. La disminución de la PTH fue inconsistente, al reportar una disminución significativa de la PTH sólo en un estudio; tampoco se observaron cambios en la densidad mineral ósea. Los efectos adversos reportados en los ECA reportaron RR= 0,86 (0,41-1,72). La hipocalcemia fue encontrada en 5 de los 6 estudios, respondiendo universalmente al ajuste del fármaco. Conclusiones: Se encontró una reducción del calcio sérico a niveles normales, sin cambios significativos en la PTH y en la densidad mineral ósea en pacientes con hiperparatiroidismo primario. Respecto a la seguridad no se encontraron efectos adversos serios, sin embargo las variables de mortalidad, reducción del riesgo de fracturas y el riesgo cardiovascular no ha sido adecuadamente evaluado en el hiperparatiroidismo primario.",medicina
